customer_id,phone,country_code,country,state
CUST000000000002,619489725433.0,AU,Australia,VIC
CUST000000000003,919390066524.0,IN,India,TN
CUST000000000004,917073741793.0,IN,India,TN
CUST000000000013,449218206661.0,GB,United Kingdom,WLS
CUST000000000015,918042420680.0,IN,India,TS
CUST000000000016,446722643507.0,GB,United Kingdom,NIR
CUST000000000021,916675384617.0,IN,India,RJ
CUST000000000029,18961599910.0,US,United States,MA
CUST000000000030,917258744528.0,IN,India,TN
CUST000000000033,17681648241.0,US,United States,CA
CUST000000000034,919387268637.0,IN,India,MH
CUST000000000035,919376674065.0,IN,India,KA
CUST000000000042,918042789150.0,IN,India,TN
CUST000000000049,656125865723.0,SG,Singapore,SG
CUST000000000051,917267060871.0,IN,India,KL
CUST000000000052,616827436286.0,AU,Australia,VIC
CUST000000000054,918912393998.0,IN,India,TN
CUST000000000059,617487352316.0,AU,Australia,NSW
CUST000000000060,9718840668232.0,AE,United Arab Emirates,DU
CUST000000000062,659934438207.0,SG,Singapore,SG
CUST000000000068,916932010255.0,IN,India,TS
CUST000000000069,919594756827.0,IN,India,GJ
CUST000000000070,,IN,India,TS
CUST000000000071,917460650037.0,IN,India,RJ
CUST000000000072,917955574825.0,IN,India,WB
CUST000000000074,919869656669.0,IN,India,KA
CUST000000000081,,AU,Australia,VIC
CUST000000000083,916761382493.0,IN,India,WB
CUST000000000085,918012757591.0,IN,India,DL
CUST000000000087,19537600458.0,US,United States,MA
CUST000000000093,9717639144906.0,AE,United Arab Emirates,DU
CUST000000000098,916178033572.0,IN,India,GJ
CUST000000000099,18295093222.0,CA,Canada,QC
CUST000000000102,659851071437.0,SG,Singapore,SG
CUST000000000103,,US,United States,CA
CUST000000000104,448972940481.0,GB,United Kingdom,NIR
CUST000000000105,918627888367.0,IN,India,KL
CUST000000000106,917367191881.0,IN,India,DL
CUST000000000108,917634510066.0,IN,India,TN
CUST000000000112,,IN,India,MH
CUST000000000113,916952438872.0,IN,India,RJ
CUST000000000114,917795256178.0,IN,India,MH
CUST000000000119,916651126022.0,IN,India,TN
CUST000000000124,,IN,India,MH
CUST000000000125,18017548396.0,US,United States,MA
CUST000000000131,918014893243.0,IN,India,DL
CUST000000000132,916165461840.0,IN,India,DL
CUST000000000133,917950733969.0,IN,India,DL
CUST000000000139,916277782587.0,IN,India,RJ
CUST000000000141,9716896340372.0,AE,United Arab Emirates,SHJ
CUST000000000142,916795914546.0,IN,India,KA
CUST000000000156,918800502533.0,IN,India,MH
CUST000000000159,659185672963.0,SG,Singapore,SG
CUST000000000165,16044494088.0,US,United States,WA
CUST000000000166,659515098591.0,SG,Singapore,SG
CUST000000000167,919706255295.0,IN,India,UP
CUST000000000176,917207377573.0,IN,India,WB
CUST000000000177,9718965784783.0,AE,United Arab Emirates,SHJ
CUST000000000184,,IN,India,RJ
CUST000000000185,,IN,India,UP
CUST000000000188,916800628893.0,IN,India,UP
CUST000000000191,916496386222.0,IN,India,UP
CUST000000000194,,IN,India,TN
CUST000000000198,446518610055.0,GB,United Kingdom,SCT
CUST000000000199,617275310189.0,AU,Australia,VIC
CUST000000000205,9718027432260.0,AE,United Arab Emirates,DU
